GTIN,EXTERNAL_ID,NAME,STOCK,PRICE,MPN,DESCRIPTION,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,IMAGE11,IMAGE12,IMAGE13,IMAGE14,IMAGE15,IMAGE16,CATEGORY,BRAND,COLOR,SIZE,MATERIAL
5901234567891,AGD-ZMYW15,Zmywarka 60 cm A+++ Inverter,1000,1999,DFX-9082-A ,"Nowoczesna zmywarka wolnostojąca o szerokości 60 cm, mieszcząca 15 kompletów naczyń. Wyposażona w cichy i energooszczędny silnik inwerterowy oraz 8 programów mycia, w tym program higieniczny 70°C i krótki 30 minut. Posiada opóźnienie startu i wyświetlacz LED. Klasa energetyczna A+++.",https://twoja.strona.pl/obrazek1.jpg,https://twoja.strona.pl/obrazek2.jpg,https://twoja.strona.pl/obrazek3.jpg,https://twoja.strona.pl/obrazek4.jpg,https://twoja.strona.pl/obrazek5.jpg,,,,,,,,,,,,AGD Duże/Kuchnia,HomeLux,Biały,85x60x60 cm,Stal nierdzewna
7890123456780,AGD-EKSPR22,Ekspres Ciśnieniowy Automatyczny LatteGo,15,2499,78-PN43-X2 ,"Pełnoautomatyczny ekspres do kawy z intuicyjnym panelem dotykowym. System LatteGo umożliwia szybkie przygotowanie kaw mlecznych (Cappuccino, Latte Macchiato) ze świeżego mleka. Posiada ceramiczny młynek z 12 stopniami regulacji. Filtr AquaClean zapewnia czystość wody.",https://twoja.strona.pl/obrazek1.jpg,https://twoja.strona.pl/obrazek2.jpg,https://twoja.strona.pl/obrazek3.jpg,https://twoja.strona.pl/obrazek4.jpg,https://twoja.strona.pl/obrazek5.jpg,,,,,,,,,,,,AGD Małe/Kawa,AromaPro,Czarny matowy,35x25x45 cm,Tworzywo sztuczne
4001112223330,AGD-MIKR3,Kuchenka Mikrofalowa Grill 20L,33,349,MBR-2026-REV,"Kompaktowa kuchenka mikrofalowa o pojemności 20 litrów, wyposażona w funkcję grill. 5 poziomów mocy mikrofal (do 800W) i funkcja rozmrażania wagowego. Wnętrze pokryte emalią ułatwiającą czyszczenie. Idealna do małej kuchni.",https://twoja.strona.pl/obrazek1.jpg,https://twoja.strona.pl/obrazek2.jpg,https://twoja.strona.pl/obrazek3.jpg,https://twoja.strona.pl/obrazek4.jpg,https://twoja.strona.pl/obrazek5.jpg,,,,,,,,,,,,AGD Małe/Kuchnia,QuickHeat,Srebrny,26x44x35 cm,Stal lakierowana
9876543210986,AGD-ODKU1,Odkurzacz Bezprzewodowy Pionowy V9,50,899,TX-4451-BLU,Lekki i mocny odkurzacz pionowy 2w1 (pionowy i ręczny) z cyfrowym silnikiem bezszczotkowym. Czas pracy do 60 minut w trybie Eco. Zaawansowany system filtracji HEPA. Łatwy do opróżnienia pojemnik i zestaw wymiennych końcówek do różnych powierzchni.,https://twoja.strona.pl/obrazek1.jpg,https://twoja.strona.pl/obrazek2.jpg,https://twoja.strona.pl/obrazek3.jpg,https://twoja.strona.pl/obrazek4.jpg,https://twoja.strona.pl/obrazek5.jpg,,,,,,,,,,,,AGD Małe/Sprzątanie,CleanMax,Grafitowy,26x44x50 cm,Aluminium/Plastik
1122334455660,ACC-PLEC01,Plecak Turystyczny 40L Wodoodporny,88,159,9987-XZ,"Wytrzymały plecak trekkingowy o pojemności 40 litrów. Wykonany z wodoodpornego poliestru Rip-Stop. Posiada regulowany system wentylacji pleców, pas biodrowy i piersiowy oraz liczne kieszenie boczne i zewnętrzne uchwyty na sprzęt. Idealny na jednodniowe wycieczki.",https://twoja.strona.pl/obrazek1.jpg,https://twoja.strona.pl/obrazek2.jpg,https://twoja.strona.pl/obrazek3.jpg,https://twoja.strona.pl/obrazek4.jpg,https://twoja.strona.pl/obrazek5.jpg,,,,,,,,,,,,Turystyka/Akcesoria,TrailGo,Zielony leśny,40 Litrów,Poliester Rip-Stop
2004006008000,PRD-BLUZA05,Bluza Męska Bawełniana z Kapturem,112,119,PRD-BLUZA05,"Klasyczna bluza męska z kapturem i kieszenią kangurką. Wykonana z grubej, mięsistej bawełny o gramaturze 320 g/m². Wewnętrzna strona drapana, zapewnia ciepło. Ściągacze przy mankietach i na dole bluzy. Idealna na chłodniejsze dni i do codziennego użytku.",https://twoja.strona.pl/obrazek1.jpg,https://twoja.strona.pl/obrazek2.jpg,https://twoja.strona.pl/obrazek3.jpg,https://twoja.strona.pl/obrazek4.jpg,https://twoja.strona.pl/obrazek5.jpg,,,,,,,,,,,,Odzież Męska,StreetWear,Szary Melanż,XL,Bawełna 80%
3344556677880,PRD-SZPILK1,Szpilki Skórzane Czarne Klasyczne,45,299,PRD-SZPILK1,"Eleganckie czarne szpilki wykonane z wysokiej jakości skóry naturalnej. Klasyczny, smukły fason z noskiem w szpic i obcasem 9 cm. Wyściółka ze skóry gwarantuje komfort. Ponadczasowy model, niezbędny w każdej garderobie formalnej i wieczorowej.",https://twoja.strona.pl/obrazek1.jpg,https://twoja.strona.pl/obrazek2.jpg,https://twoja.strona.pl/obrazek3.jpg,https://twoja.strona.pl/obrazek4.jpg,,,,,,,,,,,,,Obuwie Damskie,Elegance,Czarny,38,Skóra naturalna
6005004003000,AGD-LODZKA05,Lodówka Side-by-Side Total No Frost,5,3999,6005004003000,Duża lodówka dwudrzwiowa Side-by-Side o pojemności całkowitej 600 litrów. System Total No Frost eliminuje szron i lód. Wyposażona w dystrybutor wody i lodu (wymaga podłączenia do wody) oraz strefę zero (komora świeżości). Klasa energetyczna E (Nowa). Dotykowy panel sterowania.,https://twoja.strona.pl/obrazek1.jpg,https://twoja.strona.pl/obrazek2.jpg,https://twoja.strona.pl/obrazek3.jpg,,,,,,,,,,,,,,AGD Duże/Chłodzenie,ArcticCool,Stal Inox,180x90x70cm,Stal nierdzewna
7788990011220,ELT-LAPTOP02,"Laptop Ultrabook 14"" i7 16GB RAM",18,5590,TG-1234-1234,"Ultrabook biznesowy 14 cali z matrycą Full HD. Procesor Intel Core i7, 16 GB pamięci RAM i szybki dysk SSD NVMe 512 GB. Ultralekka obudowa z aluminium. Bateria wytrzymująca do 10 godzin pracy. System operacyjny Windows 11 Pro. Idealny do pracy zdalnej i mobilnej.",https://twoja.strona.pl/obrazek1.jpg,https://twoja.strona.pl/obrazek2.jpg,https://twoja.strona.pl/obrazek3.jpg,,,,,,,,,,,,,,Elektronika/Komputery,TechGear,Kosmiczny szary,14 cali,Aluminium/Magnez
8899001122330,KCH-GARN07,Zestaw Garnków Indukcyjnych 8 Elementów,25,499,CM-GAR-8-EL,"Komplet 4 garnków i 4 pokrywek wykonanych z wysokiej jakości stali nierdzewnej 18/10. Grube, wielowarstwowe dno akutermiczne zapewnia szybkie i równomierne nagrzewanie. Nadają się do wszystkich typów kuchenek, w tym indukcyjnych. Można myć w zmywarce.",https://twoja.strona.pl/obrazek1.jpg,https://twoja.strona.pl/obrazek2.jpg,https://twoja.strona.pl/obrazek3.jpg,,,,,,,,,,,,,,Kuchnia/Wyposażenie,CookMaster,Srebrny (połysk),,Stal nierdzewna 18/10
