Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Materiał ramy dzieła sztuki (product.metafields.shopify.artwork-frame-material),Kolor (product.metafields.shopify.color-pattern),Materiał dekoracyjny (product.metafields.shopify.decoration-material),Obsługiwany format (product.metafields.shopify.format-supported),Styl oprawki (product.metafields.shopify.frame-style),Materiał (product.metafields.shopify.material),Typ mocowania (product.metafields.shopify.mounting-type),Orientacja (product.metafields.shopify.orientation),Kształt (product.metafields.shopify.shape),Motyw (product.metafields.shopify.theme),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
golden-hour-cat,Golden Hour Cat,"<p>Experience the serene beauty of ""Golden Hour Cat,"" where a feline companion basks in the warm embrace of natural sunlight during the enchanting golden hour. This meticulously captured photograph showcases the cat’s detailed fur and striking eyes, set against a softly blurred backdrop of grass and earth, creating a tranquil yet captivating atmosphere. The balanced tones and sharp focus invite you to appreciate the delicate interplay of light and texture, making it a perfect addition to any serene space.</p>",REXIMPRIMIS,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork > Posters",poster,"natura-i-krajobrazy, photography, poster, size_13x18, size_21x30, size_30x40, size_40x50, size_50x70, size_70x100",false,Print Style,Full Bleed,,Size,13 × 18 cm (Small),,,,,golden-hour-cat-full-13x18,0.0,,0,deny,manual,15.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1004/0311/8467/files/Golden_Hour_Cat_thumb_7445080e-c8a1-4e48-bfc1-70b057c2cc57.jpg?v=1776159842,1,"",false,Golden Hour Cat | REXIMPRIMIS,"Experience the serene beauty of ""Golden Hour Cat,"" where a feline companion basks in the warm embrace of natural sunlight during the enchanting golden hour. Thi",,,,,,,,,,,https://cdn.shopify.com/s/files/1/1004/0311/8467/files/Golden_Hour_Cat_thumb_7445080e-c8a1-4e48-bfc1-70b057c2cc57.jpg?v=1776159842,kg,,,active
golden-hour-cat,,,,,,,,,Full Bleed,,,21 × 30 cm (A4),,,,,golden-hour-cat-full-21x30,0.0,,0,deny,manual,25.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1004/0311/8467/files/Golden_Hour_Cat_ramka_thumb_7591fe34-f880-4aa8-83fe-e92f7b90ff47.jpg?v=1776159841,2,"",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1004/0311/8467/files/Golden_Hour_Cat_ramka_thumb_7591fe34-f880-4aa8-83fe-e92f7b90ff47.jpg?v=1776159841,kg,,,
golden-hour-cat,,,,,,,,,Full Bleed,,,30 × 40 cm (Medium),,,,,golden-hour-cat-full-30x40,0.0,,0,deny,manual,32.00,,true,true,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1004/0311/8467/files/Golden_Hour_Cat_thumb_7445080e-c8a1-4e48-bfc1-70b057c2cc57.jpg?v=1776159842,kg,,,
golden-hour-cat,,,,,,,,,Full Bleed,,,40 × 50 cm (Large),,,,,golden-hour-cat-full-40x50,0.0,,0,deny,manual,54.00,,true,true,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1004/0311/8467/files/Golden_Hour_Cat_thumb_7445080e-c8a1-4e48-bfc1-70b057c2cc57.jpg?v=1776159842,kg,,,
golden-hour-cat,,,,,,,,,Full Bleed,,,50 × 70 cm (Large),,,,,golden-hour-cat-full-50x70,0.0,,0,deny,manual,65.00,,true,true,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1004/0311/8467/files/Golden_Hour_Cat_thumb_7445080e-c8a1-4e48-bfc1-70b057c2cc57.jpg?v=1776159842,kg,,,
golden-hour-cat,,,,,,,,,Full Bleed,,,70 × 100 cm (Extra Large),,,,,golden-hour-cat-full-70x100,0.0,,0,deny,manual,90.00,,true,true,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1004/0311/8467/files/Golden_Hour_Cat_thumb_7445080e-c8a1-4e48-bfc1-70b057c2cc57.jpg?v=1776159842,kg,,,
golden-hour-cat,,,,,,,,,White Border,,,13 × 18 cm (Small),,,,,golden-hour-cat-ramka-13x18,0.0,,0,deny,manual,15.00,,true,true,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1004/0311/8467/files/Golden_Hour_Cat_ramka_thumb_7591fe34-f880-4aa8-83fe-e92f7b90ff47.jpg?v=1776159841,kg,,,
golden-hour-cat,,,,,,,,,White Border,,,21 × 30 cm (A4),,,,,golden-hour-cat-ramka-21x30,0.0,,0,deny,manual,25.00,,true,true,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1004/0311/8467/files/Golden_Hour_Cat_ramka_thumb_7591fe34-f880-4aa8-83fe-e92f7b90ff47.jpg?v=1776159841,kg,,,
golden-hour-cat,,,,,,,,,White Border,,,30 × 40 cm (Medium),,,,,golden-hour-cat-ramka-30x40,0.0,,0,deny,manual,32.00,,true,true,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1004/0311/8467/files/Golden_Hour_Cat_ramka_thumb_7591fe34-f880-4aa8-83fe-e92f7b90ff47.jpg?v=1776159841,kg,,,
golden-hour-cat,,,,,,,,,White Border,,,40 × 50 cm (Large),,,,,golden-hour-cat-ramka-40x50,0.0,,0,deny,manual,54.00,,true,true,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1004/0311/8467/files/Golden_Hour_Cat_ramka_thumb_7591fe34-f880-4aa8-83fe-e92f7b90ff47.jpg?v=1776159841,kg,,,
golden-hour-cat,,,,,,,,,White Border,,,50 × 70 cm (Large),,,,,golden-hour-cat-ramka-50x70,0.0,,0,deny,manual,65.00,,true,true,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1004/0311/8467/files/Golden_Hour_Cat_ramka_thumb_7591fe34-f880-4aa8-83fe-e92f7b90ff47.jpg?v=1776159841,kg,,,
golden-hour-cat,,,,,,,,,White Border,,,70 × 100 cm (Extra Large),,,,,golden-hour-cat-ramka-70x100,0.0,,0,deny,manual,90.00,,true,true,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1004/0311/8467/files/Golden_Hour_Cat_ramka_thumb_7591fe34-f880-4aa8-83fe-e92f7b90ff47.jpg?v=1776159841,kg,,,
