Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Materiał ramy dzieła sztuki (product.metafields.shopify.artwork-frame-material),Kolor (product.metafields.shopify.color-pattern),Materiał dekoracyjny (product.metafields.shopify.decoration-material),Obsługiwany format (product.metafields.shopify.format-supported),Styl oprawki (product.metafields.shopify.frame-style),Materiał (product.metafields.shopify.material),Typ mocowania (product.metafields.shopify.mounting-type),Orientacja (product.metafields.shopify.orientation),Kształt (product.metafields.shopify.shape),Motyw (product.metafields.shopify.theme),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,Finish (product.metafields.shopify.finish)
vintage-car-sunset-drive,Vintage_Car_Sunset_Drive,"<p>Experience the serene beauty of a classic vintage car gliding through a golden sunset landscape. The warm hues and cinematic color grading evoke a sense of nostalgia, while the balanced composition captures a moment of tranquil motion. This premium artwork invites you to embrace the charm of a bygone era, effortlessly enhancing any space with its timeless elegance.</p>",REXIMPRIMIS,,poster,"poster, retro, photography, size_13x18, size_21x30, size_30x40, size_40x50, size_50x70",true,Print Style,Full Bleed,,Size,13 × 18 cm (Small),,,,,vintage-car-sunset-drive-full-13x18,0,,,deny,manual,25.00,,true,true,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/Retro/photography/Vintage_Car_Sunset_Drive_thumb.jpg,1,,false,Vintage_Car_Sunset_Drive | REXIMPRIMIS,Experience the serene beauty of a classic vintage car gliding through a golden sunset landscape. The warm hues and cinematic color grading evoke a sense of nost,,,,,,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/Retro/photography/Vintage_Car_Sunset_Drive_thumb.jpg,kg,,,active,
vintage-car-sunset-drive,,,,,,,,,Full Bleed,,,21 × 30 cm (A4),,,,,vintage-car-sunset-drive-full-21x30,0,,,deny,manual,39.00,,true,true,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/Retro/photography/Vintage_Car_Sunset_Drive_ramka_thumb.jpg,2,,,,,,,,,,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/Retro/photography/Vintage_Car_Sunset_Drive_ramka_thumb.jpg,kg,,,,
vintage-car-sunset-drive,,,,,,,,,Full Bleed,,,30 × 40 cm (Medium),,,,,vintage-car-sunset-drive-full-30x40,0,,,deny,manual,59.00,,true,true,,,,,,,,,,,,,,,,,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/Retro/photography/Vintage_Car_Sunset_Drive_thumb.jpg,kg,,,,
vintage-car-sunset-drive,,,,,,,,,Full Bleed,,,40 × 50 cm (Large),,,,,vintage-car-sunset-drive-full-40x50,0,,,deny,manual,79.00,,true,true,,,,,,,,,,,,,,,,,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/Retro/photography/Vintage_Car_Sunset_Drive_thumb.jpg,kg,,,,
vintage-car-sunset-drive,,,,,,,,,Full Bleed,,,50 × 70 cm (Large),,,,,vintage-car-sunset-drive-full-50x70,0,,,deny,manual,119.00,,true,true,,,,,,,,,,,,,,,,,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/Retro/photography/Vintage_Car_Sunset_Drive_thumb.jpg,kg,,,,
vintage-car-sunset-drive,,,,,,,,,White Border,,,13 × 18 cm (Small),,,,,vintage-car-sunset-drive-ramka-13x18,0,,,deny,manual,25.00,,true,true,,,,,,,,,,,,,,,,,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/Retro/photography/Vintage_Car_Sunset_Drive_ramka_thumb.jpg,kg,,,,
vintage-car-sunset-drive,,,,,,,,,White Border,,,21 × 30 cm (A4),,,,,vintage-car-sunset-drive-ramka-21x30,0,,,deny,manual,39.00,,true,true,,,,,,,,,,,,,,,,,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/Retro/photography/Vintage_Car_Sunset_Drive_ramka_thumb.jpg,kg,,,,
vintage-car-sunset-drive,,,,,,,,,White Border,,,30 × 40 cm (Medium),,,,,vintage-car-sunset-drive-ramka-30x40,0,,,deny,manual,59.00,,true,true,,,,,,,,,,,,,,,,,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/Retro/photography/Vintage_Car_Sunset_Drive_ramka_thumb.jpg,kg,,,,
vintage-car-sunset-drive,,,,,,,,,White Border,,,40 × 50 cm (Large),,,,,vintage-car-sunset-drive-ramka-40x50,0,,,deny,manual,79.00,,true,true,,,,,,,,,,,,,,,,,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/Retro/photography/Vintage_Car_Sunset_Drive_ramka_thumb.jpg,kg,,,,
vintage-car-sunset-drive,,,,,,,,,White Border,,,50 × 70 cm (Large),,,,,vintage-car-sunset-drive-ramka-50x70,0,,,deny,manual,119.00,,true,true,,,,,,,,,,,,,,,,,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/Retro/photography/Vintage_Car_Sunset_Drive_ramka_thumb.jpg,kg,,,,
