Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Materiał ramy dzieła sztuki (product.metafields.shopify.artwork-frame-material),Kolor (product.metafields.shopify.color-pattern),Materiał dekoracyjny (product.metafields.shopify.decoration-material),Obsługiwany format (product.metafields.shopify.format-supported),Styl oprawki (product.metafields.shopify.frame-style),Materiał (product.metafields.shopify.material),Typ mocowania (product.metafields.shopify.mounting-type),Orientacja (product.metafields.shopify.orientation),Kształt (product.metafields.shopify.shape),Motyw (product.metafields.shopify.theme),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,Finish (product.metafields.shopify.finish)
misty-lake-at-dawn,Misty Lake at Dawn,"<p>“Misty Lake at Dawn” unfolds across three panels — a calm, considered composition with a quiet, refined character.

This is a triptych — a set of 3 separate prints that together form one continuous scene. The motif flows seamlessly from sheet to sheet, so hung side by side they read as a single artwork, while each panel still stands on its own.

The horizontal composition works beautifully above a sofa, a bed, a sideboard or in a dining room. Leave 3–5 cm between frames — that spacing lets the panels read as a whole while giving them room to breathe.

About the print:
• 3 separate sheets forming one composition
• 220 g/m² paper, chosen together with industry experts after extensive testing
• Displays beautifully behind frame glass — keeps depth of colour and fine detail
• Edge-to-edge print, no border
• Carefully packaged for shipping

Colours may vary slightly from what you see on screen, depending on your monitor calibration.</p>",REXIMPRIMIS,,poster set,"poster, zestaw, tryptyk, zestaw_3, japonia, illustration, size_13x18, size_21x30, size_30x40, size_40x50, size_50x70",true,Size,13 × 18 cm (Small),,,,,,,,,,,,deny,manual,43.20,86.40,true,true,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/_zestawy/Japonia/illustration/Mgielne_Jezioro_o_Swicie_kaskada.png,1,Misty Lake at Dawn,false,Misty Lake at Dawn | REXIMPRIMIS,"“Misty Lake at Dawn” unfolds across three panels — a calm, considered composition with a quiet, refined character.

This is a triptych — a set of 3 separate pri",,,,,,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/_zestawy/Japonia/illustration/Mgielne_Jezioro_o_Swicie_kaskada.png,kg,,,active,
misty-lake-at-dawn,,,,,,,,,21 × 30 cm (A4),,,,,,,,,,,,deny,manual,70.20,140.40,true,true,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/_zestawy/Japonia/illustration/Mgielne_Jezioro_o_Swicie_mockup_frame.png,2,,,,,,,,,,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/_zestawy/Japonia/illustration/Mgielne_Jezioro_o_Swicie_mockup_frame.png,kg,,,,
misty-lake-at-dawn,,,,,,,,,30 × 40 cm (Medium),,,,,,,,,,,,deny,manual,116.10,232.20,true,true,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/_zestawy/Japonia/illustration/Mgielne_Jezioro_o_Swicie_mockup_interior.jpg,3,,,,,,,,,,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/_zestawy/Japonia/illustration/Mgielne_Jezioro_o_Swicie_mockup_interior.jpg,kg,,,,
misty-lake-at-dawn,,,,,,,,,40 × 50 cm (Large),,,,,,,,,,,,deny,manual,153.90,307.80,true,true,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/_zestawy/Japonia/illustration/Mgielne_Jezioro_o_Swicie_mockup_interior2.jpg,4,,,,,,,,,,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/_zestawy/Japonia/illustration/Mgielne_Jezioro_o_Swicie_mockup_interior2.jpg,kg,,,,
misty-lake-at-dawn,,,,,,,,,50 × 70 cm (Large),,,,,,,,,,,,deny,manual,191.70,383.40,true,true,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/_zestawy/Japonia/illustration/Mgielne_Jezioro_o_Swicie_arkusze.png,5,,,,,,,,,,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/_zestawy/Japonia/illustration/Mgielne_Jezioro_o_Swicie_arkusze.png,kg,,,,
bamboo-grove-at-dawn,Bamboo Grove at Dawn,"<p>“Bamboo Grove at Dawn” unfolds across three panels — a calm, considered composition with a quiet, refined character.

This is a triptych — a set of 3 separate prints that together form one continuous scene. The motif flows seamlessly from sheet to sheet, so hung side by side they read as a single artwork, while each panel still stands on its own.

The horizontal composition works beautifully above a sofa, a bed, a sideboard or in a dining room. Leave 3–5 cm between frames — that spacing lets the panels read as a whole while giving them room to breathe.

About the print:
• 3 separate sheets forming one composition
• 220 g/m² paper, chosen together with industry experts after extensive testing
• Displays beautifully behind frame glass — keeps depth of colour and fine detail
• Edge-to-edge print, no border
• Carefully packaged for shipping

Colours may vary slightly from what you see on screen, depending on your monitor calibration.</p>",REXIMPRIMIS,,poster set,"poster, zestaw, tryptyk, zestaw_3, japonia, illustration, size_13x18, size_21x30, size_30x40, size_40x50, size_50x70",true,Size,13 × 18 cm (Small),,,,,,,,,,,,deny,manual,43.20,86.40,true,true,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/_zestawy/Japonia/illustration/Set_of_3_Prints_%E2%80%94_Bamboo_Grove_at_Dawn_kaskada.png,1,Bamboo Grove at Dawn,false,Bamboo Grove at Dawn | REXIMPRIMIS,"“Bamboo Grove at Dawn” unfolds across three panels — a calm, considered composition with a quiet, refined character.

This is a triptych — a set of 3 separate p",,,,,,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/_zestawy/Japonia/illustration/Set_of_3_Prints_%E2%80%94_Bamboo_Grove_at_Dawn_kaskada.png,kg,,,active,
bamboo-grove-at-dawn,,,,,,,,,21 × 30 cm (A4),,,,,,,,,,,,deny,manual,70.20,140.40,true,true,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/_zestawy/Japonia/illustration/Set_of_3_Prints_%E2%80%94_Bamboo_Grove_at_Dawn_mockup_frame.png,2,,,,,,,,,,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/_zestawy/Japonia/illustration/Set_of_3_Prints_%E2%80%94_Bamboo_Grove_at_Dawn_mockup_frame.png,kg,,,,
bamboo-grove-at-dawn,,,,,,,,,30 × 40 cm (Medium),,,,,,,,,,,,deny,manual,116.10,232.20,true,true,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/_zestawy/Japonia/illustration/Set_of_3_Prints_%E2%80%94_Bamboo_Grove_at_Dawn_mockup_interior.jpg,3,,,,,,,,,,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/_zestawy/Japonia/illustration/Set_of_3_Prints_%E2%80%94_Bamboo_Grove_at_Dawn_mockup_interior.jpg,kg,,,,
bamboo-grove-at-dawn,,,,,,,,,40 × 50 cm (Large),,,,,,,,,,,,deny,manual,153.90,307.80,true,true,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/_zestawy/Japonia/illustration/Set_of_3_Prints_%E2%80%94_Bamboo_Grove_at_Dawn_mockup_interior2.jpg,4,,,,,,,,,,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/_zestawy/Japonia/illustration/Set_of_3_Prints_%E2%80%94_Bamboo_Grove_at_Dawn_mockup_interior2.jpg,kg,,,,
bamboo-grove-at-dawn,,,,,,,,,50 × 70 cm (Large),,,,,,,,,,,,deny,manual,191.70,383.40,true,true,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/_zestawy/Japonia/illustration/Set_of_3_Prints_%E2%80%94_Bamboo_Grove_at_Dawn_arkusze.png,5,,,,,,,,,,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/_zestawy/Japonia/illustration/Set_of_3_Prints_%E2%80%94_Bamboo_Grove_at_Dawn_arkusze.png,kg,,,,
