Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Materiał ramy dzieła sztuki (product.metafields.shopify.artwork-frame-material),Kolor (product.metafields.shopify.color-pattern),Materiał dekoracyjny (product.metafields.shopify.decoration-material),Obsługiwany format (product.metafields.shopify.format-supported),Styl oprawki (product.metafields.shopify.frame-style),Materiał (product.metafields.shopify.material),Typ mocowania (product.metafields.shopify.mounting-type),Orientacja (product.metafields.shopify.orientation),Kształt (product.metafields.shopify.shape),Motyw (product.metafields.shopify.theme),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,Finish (product.metafields.shopify.finish)
eclipsed-moon-over-desert-landscape,Eclipsed Moon Over Desert Landscape,"<p>In ""Eclipsed Moon Over Desert Landscape,"" a serene lunar presence casts a gentle glow over an expansive desert, inviting contemplation of the cosmos. The photograph captures the ethereal interplay of soft natural light and the textured beauty of the landscape, creating a harmonious blend of earth and sky. This minimalist composition, with its organic asymmetry and rich detail, serves as a quiet reminder of the wonders beyond our world.</p>",REXIMPRIMIS,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",poster,"poster, category:space-astronomy, style:photography, orientation:portrait, room:kids-room, room:teen-room, room:home-office, room:study, color:blue, color:red, size:13x18, size:21x30, size:30x40, size:40x50, size:50x70",true,Print Style,Full Bleed,,Size,13 × 18 cm (Small),,,,,eclipsed-moon-over-desert-landscape-full-13x18,0,,,deny,manual,16.00,32.00,true,true,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/space-astronomy/photography/Eclipsed_Moon_Over_Desert_Landscape_thumb.jpg,1,,false,Eclipsed Moon Over Desert Landscape | REXIMPRIMIS,"In ""Eclipsed Moon Over Desert Landscape,"" a serene lunar presence casts a gentle glow over an expansive desert, inviting contemplation of the cosmos. The…",,,,,,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/space-astronomy/photography/Eclipsed_Moon_Over_Desert_Landscape_thumb.jpg,kg,,,active,
eclipsed-moon-over-desert-landscape,,,,,,,,,Full Bleed,,,21 × 30 cm (A4),,,,,eclipsed-moon-over-desert-landscape-full-21x30,0,,,deny,manual,26.00,52.00,true,true,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/space-astronomy/photography/Eclipsed_Moon_Over_Desert_Landscape_ramka_thumb.jpg,2,,,,,,,,,,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/space-astronomy/photography/Eclipsed_Moon_Over_Desert_Landscape_ramka_thumb.jpg,kg,,,,
eclipsed-moon-over-desert-landscape,,,,,,,,,Full Bleed,,,30 × 40 cm (Medium),,,,,eclipsed-moon-over-desert-landscape-full-30x40,0,,,deny,manual,43.00,86.00,true,true,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/space-astronomy/photography/Eclipsed_Moon_Over_Desert_Landscape_mockup_frame.jpg,3,,,,,,,,,,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/space-astronomy/photography/Eclipsed_Moon_Over_Desert_Landscape_mockup_frame.jpg,kg,,,,
eclipsed-moon-over-desert-landscape,,,,,,,,,Full Bleed,,,40 × 50 cm (Large),,,,,eclipsed-moon-over-desert-landscape-full-40x50,0,,,deny,manual,57.00,114.00,true,true,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/space-astronomy/photography/Eclipsed_Moon_Over_Desert_Landscape_mockup_interior.jpg,4,,,,,,,,,,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/space-astronomy/photography/Eclipsed_Moon_Over_Desert_Landscape_mockup_interior.jpg,kg,,,,
eclipsed-moon-over-desert-landscape,,,,,,,,,Full Bleed,,,50 × 70 cm (Large),,,,,eclipsed-moon-over-desert-landscape-full-50x70,0,,,deny,manual,71.00,142.00,true,true,,,,,,,,,,,,,,,,,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/space-astronomy/photography/Eclipsed_Moon_Over_Desert_Landscape_thumb.jpg,kg,,,,
eclipsed-moon-over-desert-landscape,,,,,,,,,White Border,,,13 × 18 cm (Small),,,,,eclipsed-moon-over-desert-landscape-ramka-13x18,0,,,deny,manual,16.00,32.00,true,true,,,,,,,,,,,,,,,,,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/space-astronomy/photography/Eclipsed_Moon_Over_Desert_Landscape_ramka_thumb.jpg,kg,,,,
eclipsed-moon-over-desert-landscape,,,,,,,,,White Border,,,21 × 30 cm (A4),,,,,eclipsed-moon-over-desert-landscape-ramka-21x30,0,,,deny,manual,26.00,52.00,true,true,,,,,,,,,,,,,,,,,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/space-astronomy/photography/Eclipsed_Moon_Over_Desert_Landscape_ramka_thumb.jpg,kg,,,,
eclipsed-moon-over-desert-landscape,,,,,,,,,White Border,,,30 × 40 cm (Medium),,,,,eclipsed-moon-over-desert-landscape-ramka-30x40,0,,,deny,manual,43.00,86.00,true,true,,,,,,,,,,,,,,,,,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/space-astronomy/photography/Eclipsed_Moon_Over_Desert_Landscape_ramka_thumb.jpg,kg,,,,
eclipsed-moon-over-desert-landscape,,,,,,,,,White Border,,,40 × 50 cm (Large),,,,,eclipsed-moon-over-desert-landscape-ramka-40x50,0,,,deny,manual,57.00,114.00,true,true,,,,,,,,,,,,,,,,,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/space-astronomy/photography/Eclipsed_Moon_Over_Desert_Landscape_ramka_thumb.jpg,kg,,,,
eclipsed-moon-over-desert-landscape,,,,,,,,,White Border,,,50 × 70 cm (Large),,,,,eclipsed-moon-over-desert-landscape-ramka-50x70,0,,,deny,manual,71.00,142.00,true,true,,,,,,,,,,,,,,,,,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/space-astronomy/photography/Eclipsed_Moon_Over_Desert_Landscape_ramka_thumb.jpg,kg,,,,
