Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Materiał ramy dzieła sztuki (product.metafields.shopify.artwork-frame-material),Kolor (product.metafields.shopify.color-pattern),Materiał dekoracyjny (product.metafields.shopify.decoration-material),Obsługiwany format (product.metafields.shopify.format-supported),Styl oprawki (product.metafields.shopify.frame-style),Materiał (product.metafields.shopify.material),Typ mocowania (product.metafields.shopify.mounting-type),Orientacja (product.metafields.shopify.orientation),Kształt (product.metafields.shopify.shape),Motyw (product.metafields.shopify.theme),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,Finish (product.metafields.shopify.finish)
golden-blossom-embrace,Golden Blossom Embrace,"<p>Golden Blossom Embrace"" captures the serene beauty of nature through a single, elegantly poised flower stem, its delicate petals bathed in soft, natural light. The gentle focus on the bloom, set against a subtly blurred background, evokes a sense of calm and organic authenticity, inviting the viewer to appreciate the intricate textures and imperfections of the natural world. This exquisite piece harmonizes effortlessly with any interior, bringing a touch of botanical grace to your space.</p>",REXIMPRIMIS,,poster,"poster, botanika, photography, size_13x18, size_21x30, size_30x40, size_40x50, size_50x70",true,Print Style,Full Bleed,,Size,13 × 18 cm (Small),,,,,golden-blossom-embrace-full-13x18,0,,,deny,manual,25.00,,true,true,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/Botanika/photography/Golden_Blossom_Embrace_thumb.jpg,1,,false,Golden Blossom Embrace | REXIMPRIMIS,"Golden Blossom Embrace"" captures the serene beauty of nature through a single, elegantly poised flower stem, its delicate petals bathed in soft, natural light. ",,,,,,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/Botanika/photography/Golden_Blossom_Embrace_thumb.jpg,kg,,,active,
golden-blossom-embrace,,,,,,,,,Full Bleed,,,21 × 30 cm (A4),,,,,golden-blossom-embrace-full-21x30,0,,,deny,manual,39.00,,true,true,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/Botanika/photography/Golden_Blossom_Embrace_ramka_thumb.jpg,2,,,,,,,,,,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/Botanika/photography/Golden_Blossom_Embrace_ramka_thumb.jpg,kg,,,,
golden-blossom-embrace,,,,,,,,,Full Bleed,,,30 × 40 cm (Medium),,,,,golden-blossom-embrace-full-30x40,0,,,deny,manual,59.00,,true,true,,,,,,,,,,,,,,,,,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/Botanika/photography/Golden_Blossom_Embrace_thumb.jpg,kg,,,,
golden-blossom-embrace,,,,,,,,,Full Bleed,,,40 × 50 cm (Large),,,,,golden-blossom-embrace-full-40x50,0,,,deny,manual,79.00,,true,true,,,,,,,,,,,,,,,,,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/Botanika/photography/Golden_Blossom_Embrace_thumb.jpg,kg,,,,
golden-blossom-embrace,,,,,,,,,Full Bleed,,,50 × 70 cm (Large),,,,,golden-blossom-embrace-full-50x70,0,,,deny,manual,119.00,,true,true,,,,,,,,,,,,,,,,,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/Botanika/photography/Golden_Blossom_Embrace_thumb.jpg,kg,,,,
golden-blossom-embrace,,,,,,,,,White Border,,,13 × 18 cm (Small),,,,,golden-blossom-embrace-ramka-13x18,0,,,deny,manual,25.00,,true,true,,,,,,,,,,,,,,,,,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/Botanika/photography/Golden_Blossom_Embrace_ramka_thumb.jpg,kg,,,,
golden-blossom-embrace,,,,,,,,,White Border,,,21 × 30 cm (A4),,,,,golden-blossom-embrace-ramka-21x30,0,,,deny,manual,39.00,,true,true,,,,,,,,,,,,,,,,,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/Botanika/photography/Golden_Blossom_Embrace_ramka_thumb.jpg,kg,,,,
golden-blossom-embrace,,,,,,,,,White Border,,,30 × 40 cm (Medium),,,,,golden-blossom-embrace-ramka-30x40,0,,,deny,manual,59.00,,true,true,,,,,,,,,,,,,,,,,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/Botanika/photography/Golden_Blossom_Embrace_ramka_thumb.jpg,kg,,,,
golden-blossom-embrace,,,,,,,,,White Border,,,40 × 50 cm (Large),,,,,golden-blossom-embrace-ramka-40x50,0,,,deny,manual,79.00,,true,true,,,,,,,,,,,,,,,,,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/Botanika/photography/Golden_Blossom_Embrace_ramka_thumb.jpg,kg,,,,
golden-blossom-embrace,,,,,,,,,White Border,,,50 × 70 cm (Large),,,,,golden-blossom-embrace-ramka-50x70,0,,,deny,manual,119.00,,true,true,,,,,,,,,,,,,,,,,,,,,,https://cdn.jsdelivr.net/gh/reximprimis/posters@main/shopify_thumbs/Botanika/photography/Golden_Blossom_Embrace_ramka_thumb.jpg,kg,,,,
