Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Materiał ramy dzieła sztuki (product.metafields.shopify.artwork-frame-material),Kolor (product.metafields.shopify.color-pattern),Materiał dekoracyjny (product.metafields.shopify.decoration-material),Obsługiwany format (product.metafields.shopify.format-supported),Styl oprawki (product.metafields.shopify.frame-style),Materiał (product.metafields.shopify.material),Typ mocowania (product.metafields.shopify.mounting-type),Orientacja (product.metafields.shopify.orientation),Kształt (product.metafields.shopify.shape),Motyw (product.metafields.shopify.theme),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
celestial-dance-of-galaxies,Celestial Dance of Galaxies,"<p>A breathtaking cosmic scene depicting swirling galaxies in vibrant hues of deep purples, blues, and shimmering whites, soft luminous stars scattered throughout the composition, a gentle glow illuminating the edges of the galaxies, creating a sense of movement and depth, rich dark backgrounds enhancing the vivid colors of the celestial bodies, no sci-fi elements or text, the artwork fills the entire frame with a unified composition, evoking a sense of wonder and the infinite beauty of the universe.</p>",REXIMPRIMIS,,poster,"kosmos-i-astronomia, photography, poster, size_13x18, size_21x30, size_30x40, size_40x50, size_50x70, size_70x100",true,Print Style,Full Bleed,,Size,13 × 18 cm (Small),,,,,celestial-dance-of-galaxies-full-13x18,0.0,,0,deny,manual,15.00,,true,true,,,,,,,,,false,Celestial Dance of Galaxies | REXIMPRIMIS,,,,,,,,,,,,,kg,,,active
celestial-dance-of-galaxies,,,,,,,,,Full Bleed,,,21 × 30 cm (A4),,,,,celestial-dance-of-galaxies-full-21x30,0.0,,0,deny,manual,25.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,
celestial-dance-of-galaxies,,,,,,,,,Full Bleed,,,30 × 40 cm (Medium),,,,,celestial-dance-of-galaxies-full-30x40,0.0,,0,deny,manual,32.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,
celestial-dance-of-galaxies,,,,,,,,,Full Bleed,,,40 × 50 cm (Large),,,,,celestial-dance-of-galaxies-full-40x50,0.0,,0,deny,manual,54.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,
celestial-dance-of-galaxies,,,,,,,,,Full Bleed,,,50 × 70 cm (Large),,,,,celestial-dance-of-galaxies-full-50x70,0.0,,0,deny,manual,65.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,
celestial-dance-of-galaxies,,,,,,,,,Full Bleed,,,70 × 100 cm (Extra Large),,,,,celestial-dance-of-galaxies-full-70x100,0.0,,0,deny,manual,90.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,
celestial-dance-of-galaxies,,,,,,,,,White Border,,,13 × 18 cm (Small),,,,,celestial-dance-of-galaxies-ramka-13x18,0.0,,0,deny,manual,15.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,
celestial-dance-of-galaxies,,,,,,,,,White Border,,,21 × 30 cm (A4),,,,,celestial-dance-of-galaxies-ramka-21x30,0.0,,0,deny,manual,25.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,
celestial-dance-of-galaxies,,,,,,,,,White Border,,,30 × 40 cm (Medium),,,,,celestial-dance-of-galaxies-ramka-30x40,0.0,,0,deny,manual,32.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,
celestial-dance-of-galaxies,,,,,,,,,White Border,,,40 × 50 cm (Large),,,,,celestial-dance-of-galaxies-ramka-40x50,0.0,,0,deny,manual,54.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,
celestial-dance-of-galaxies,,,,,,,,,White Border,,,50 × 70 cm (Large),,,,,celestial-dance-of-galaxies-ramka-50x70,0.0,,0,deny,manual,65.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,
celestial-dance-of-galaxies,,,,,,,,,White Border,,,70 × 100 cm (Extra Large),,,,,celestial-dance-of-galaxies-ramka-70x100,0.0,,0,deny,manual,90.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,
timeless-streets-of-paris,Timeless Streets of Paris,"<p>Charming cobblestone street in Paris, lined with quaint cafés and blooming window boxes, warm golden light of late afternoon casting soft shadows, lush greenery intertwined with classic Parisian architecture, a hint of the Eiffel Tower visible in the distance, rich terracotta and pastel hues dominating the palette, balanced composition that draws the eye through the scene, inviting and timeless atmosphere, a single bicycle leaning against a wrought iron fence as the focal subject.</p>",REXIMPRIMIS,,poster,"kultowe-zdjecia, photography, poster, size_13x18, size_21x30, size_30x40, size_40x50, size_50x70, size_70x100",true,Print Style,Full Bleed,,Size,13 × 18 cm (Small),,,,,timeless-streets-of-paris-full-13x18,0.0,,0,deny,manual,15.00,,true,true,,,,,,,,,false,Timeless Streets of Paris | REXIMPRIMIS,,,,,,,,,,,,,kg,,,active
timeless-streets-of-paris,,,,,,,,,Full Bleed,,,21 × 30 cm (A4),,,,,timeless-streets-of-paris-full-21x30,0.0,,0,deny,manual,25.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,
timeless-streets-of-paris,,,,,,,,,Full Bleed,,,30 × 40 cm (Medium),,,,,timeless-streets-of-paris-full-30x40,0.0,,0,deny,manual,32.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,
timeless-streets-of-paris,,,,,,,,,Full Bleed,,,40 × 50 cm (Large),,,,,timeless-streets-of-paris-full-40x50,0.0,,0,deny,manual,54.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,
timeless-streets-of-paris,,,,,,,,,Full Bleed,,,50 × 70 cm (Large),,,,,timeless-streets-of-paris-full-50x70,0.0,,0,deny,manual,65.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,
timeless-streets-of-paris,,,,,,,,,Full Bleed,,,70 × 100 cm (Extra Large),,,,,timeless-streets-of-paris-full-70x100,0.0,,0,deny,manual,90.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,
timeless-streets-of-paris,,,,,,,,,White Border,,,13 × 18 cm (Small),,,,,timeless-streets-of-paris-ramka-13x18,0.0,,0,deny,manual,15.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,
timeless-streets-of-paris,,,,,,,,,White Border,,,21 × 30 cm (A4),,,,,timeless-streets-of-paris-ramka-21x30,0.0,,0,deny,manual,25.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,
timeless-streets-of-paris,,,,,,,,,White Border,,,30 × 40 cm (Medium),,,,,timeless-streets-of-paris-ramka-30x40,0.0,,0,deny,manual,32.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,
timeless-streets-of-paris,,,,,,,,,White Border,,,40 × 50 cm (Large),,,,,timeless-streets-of-paris-ramka-40x50,0.0,,0,deny,manual,54.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,
timeless-streets-of-paris,,,,,,,,,White Border,,,50 × 70 cm (Large),,,,,timeless-streets-of-paris-ramka-50x70,0.0,,0,deny,manual,65.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,
timeless-streets-of-paris,,,,,,,,,White Border,,,70 × 100 cm (Extra Large),,,,,timeless-streets-of-paris-ramka-70x100,0.0,,0,deny,manual,90.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,
candid-moment-at-sunset,Candid Moment at Sunset,"<p>Silhouetted figures embracing on a sandy beach at sunset, warm golden and orange hues blending seamlessly into the horizon, soft waves lapping gently at their feet, minimalistic composition focusing on the connection between the two, with distant palm trees framing the scene, creating a serene and iconic moment, edge-to-edge artwork capturing the essence of a timeless sunset.</p>",REXIMPRIMIS,,poster,"kultowe-zdjecia, minimalism, poster, size_13x18, size_21x30, size_30x40, size_40x50, size_50x70, size_70x100",true,Print Style,Full Bleed,,Size,13 × 18 cm (Small),,,,,candid-moment-at-sunset-full-13x18,0.0,,0,deny,manual,15.00,,true,true,,,,,,,,,false,Candid Moment at Sunset | REXIMPRIMIS,,,,,,,,,,,,,kg,,,active
candid-moment-at-sunset,,,,,,,,,Full Bleed,,,21 × 30 cm (A4),,,,,candid-moment-at-sunset-full-21x30,0.0,,0,deny,manual,25.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,
candid-moment-at-sunset,,,,,,,,,Full Bleed,,,30 × 40 cm (Medium),,,,,candid-moment-at-sunset-full-30x40,0.0,,0,deny,manual,32.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,
candid-moment-at-sunset,,,,,,,,,Full Bleed,,,40 × 50 cm (Large),,,,,candid-moment-at-sunset-full-40x50,0.0,,0,deny,manual,54.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,
candid-moment-at-sunset,,,,,,,,,Full Bleed,,,50 × 70 cm (Large),,,,,candid-moment-at-sunset-full-50x70,0.0,,0,deny,manual,65.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,
candid-moment-at-sunset,,,,,,,,,Full Bleed,,,70 × 100 cm (Extra Large),,,,,candid-moment-at-sunset-full-70x100,0.0,,0,deny,manual,90.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,
candid-moment-at-sunset,,,,,,,,,White Border,,,13 × 18 cm (Small),,,,,candid-moment-at-sunset-ramka-13x18,0.0,,0,deny,manual,15.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,
candid-moment-at-sunset,,,,,,,,,White Border,,,21 × 30 cm (A4),,,,,candid-moment-at-sunset-ramka-21x30,0.0,,0,deny,manual,25.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,
candid-moment-at-sunset,,,,,,,,,White Border,,,30 × 40 cm (Medium),,,,,candid-moment-at-sunset-ramka-30x40,0.0,,0,deny,manual,32.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,
candid-moment-at-sunset,,,,,,,,,White Border,,,40 × 50 cm (Large),,,,,candid-moment-at-sunset-ramka-40x50,0.0,,0,deny,manual,54.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,
candid-moment-at-sunset,,,,,,,,,White Border,,,50 × 70 cm (Large),,,,,candid-moment-at-sunset-ramka-50x70,0.0,,0,deny,manual,65.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,
candid-moment-at-sunset,,,,,,,,,White Border,,,70 × 100 cm (Extra Large),,,,,candid-moment-at-sunset-ramka-70x100,0.0,,0,deny,manual,90.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,
silent-streets-of-paris,Silent Streets of Paris,"<p>A tranquil Paris street at dawn, cobblestone path glistening with dew, soft pastel hues of pink and lavender in the sky, delicate buildings lining the street with ivy creeping up their walls, a vintage lamppost casting a warm glow, gentle light illuminating the scene, watercolor style capturing the serene atmosphere, minimal people to emphasize solitude, edge-to-edge composition focusing on the quiet charm of the iconic architecture, a single bicycle leaning against a lamppost as the dominant focal subject.</p>",REXIMPRIMIS,,poster,"kultowe-zdjecia, poster, size_13x18, size_21x30, size_30x40, size_40x50, size_50x70, size_70x100, watercolor",true,Print Style,Full Bleed,,Size,13 × 18 cm (Small),,,,,silent-streets-of-paris-full-13x18,0.0,,0,deny,manual,15.00,,true,true,,,,,,,,,false,Silent Streets of Paris | REXIMPRIMIS,,,,,,,,,,,,,kg,,,active
silent-streets-of-paris,,,,,,,,,Full Bleed,,,21 × 30 cm (A4),,,,,silent-streets-of-paris-full-21x30,0.0,,0,deny,manual,25.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,
silent-streets-of-paris,,,,,,,,,Full Bleed,,,30 × 40 cm (Medium),,,,,silent-streets-of-paris-full-30x40,0.0,,0,deny,manual,32.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,
silent-streets-of-paris,,,,,,,,,Full Bleed,,,40 × 50 cm (Large),,,,,silent-streets-of-paris-full-40x50,0.0,,0,deny,manual,54.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,
silent-streets-of-paris,,,,,,,,,Full Bleed,,,50 × 70 cm (Large),,,,,silent-streets-of-paris-full-50x70,0.0,,0,deny,manual,65.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,
silent-streets-of-paris,,,,,,,,,Full Bleed,,,70 × 100 cm (Extra Large),,,,,silent-streets-of-paris-full-70x100,0.0,,0,deny,manual,90.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,
silent-streets-of-paris,,,,,,,,,White Border,,,13 × 18 cm (Small),,,,,silent-streets-of-paris-ramka-13x18,0.0,,0,deny,manual,15.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,
silent-streets-of-paris,,,,,,,,,White Border,,,21 × 30 cm (A4),,,,,silent-streets-of-paris-ramka-21x30,0.0,,0,deny,manual,25.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,
silent-streets-of-paris,,,,,,,,,White Border,,,30 × 40 cm (Medium),,,,,silent-streets-of-paris-ramka-30x40,0.0,,0,deny,manual,32.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,
silent-streets-of-paris,,,,,,,,,White Border,,,40 × 50 cm (Large),,,,,silent-streets-of-paris-ramka-40x50,0.0,,0,deny,manual,54.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,
silent-streets-of-paris,,,,,,,,,White Border,,,50 × 70 cm (Large),,,,,silent-streets-of-paris-ramka-50x70,0.0,,0,deny,manual,65.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,
silent-streets-of-paris,,,,,,,,,White Border,,,70 × 100 cm (Extra Large),,,,,silent-streets-of-paris-ramka-70x100,0.0,,0,deny,manual,90.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,
eternal-dance-of-shadows,Eternal Dance of Shadows,"<p>A swirling dance of shadowy silhouettes entwined among delicate, ethereal flowers, soft illumination casting gentle gradients across the scene, a harmonious blend of dark and muted pastel hues creating an enchanting atmosphere, clean line art style with flowing curves and intricate details, composition seamlessly filling the entire frame, evoking a sense of timeless elegance and mystery, a single focal figure in the center, surrounded by a cascade of shadows and blossoms.</p>",REXIMPRIMIS,,poster,"kultowe-zdjecia, line-art, poster, size_13x18, size_21x30, size_30x40, size_40x50, size_50x70, size_70x100",true,Print Style,Full Bleed,,Size,13 × 18 cm (Small),,,,,eternal-dance-of-shadows-full-13x18,0.0,,0,deny,manual,15.00,,true,true,,,,,,,,,false,Eternal Dance of Shadows | REXIMPRIMIS,,,,,,,,,,,,,kg,,,active
eternal-dance-of-shadows,,,,,,,,,Full Bleed,,,21 × 30 cm (A4),,,,,eternal-dance-of-shadows-full-21x30,0.0,,0,deny,manual,25.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,
eternal-dance-of-shadows,,,,,,,,,Full Bleed,,,30 × 40 cm (Medium),,,,,eternal-dance-of-shadows-full-30x40,0.0,,0,deny,manual,32.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,
